~weapons
ids,id
IDS_ARSN_1809_Potsdam_Pattern_Prussia	1
IDS_ARSN_1834_Pattern_Prussia	2
IDS_ARSN_1839_Pattern_Bavaria	3
IDS_ARSN_1843_Pattern_Belgium	4
IDS_ARSN_1853_Pattern_Enfield_Britain	5
IDS_ARSN_1854_Lorenz_Austria	6
IDS_ARSN_1858_Pattern_Enfield_Britain	7
IDS_ARSN_Army_Model	8
IDS_ARSN_Austrian_Jaeger_USA	9
IDS_ARSN_Burnside_USA	10
IDS_ARSN_Civilian_Models	11
IDS_ARSN_Colt_Repeating_USA	12
IDS_ARSN_Cook_&_Brother_Musket	13
IDS_ARSN_Cook_&_Brother_Carbine	14
IDS_ARSN_Dresden_Pattern	15
IDS_ARSN_Enfield_Percussion_Britain	16
IDS_ARSN_Fayetteville_Pattern	17
IDS_ARSN_Gallager_USA	18
IDS_ARSN_Hall_USA	19
IDS_ARSN_HEDimick_Pattern	20
IDS_ARSN_Henry_Repeating_USA	21
IDS_ARSN_JPMurray_CSA	22
IDS_ARSN_Liege_Pattern_France	23
IDS_ARSN_Maynard_USA	24
IDS_ARSN_Merrill_USA	25
IDS_ARSN_Mixed_Calibers_54_577	26
IDS_ARSN_Mixed_Calibers_54_58	27
IDS_ARSN_Mixed_Calibers_577_58	28
IDS_ARSN_Mixed_Calibers_577_69	29
IDS_ARSN_Mixed_Calibers_58_69	30
IDS_ARSN_Mixed_Types_Musket_Rifle	31
IDS_ARSN_Model_1795_Flintlock_USA	32
IDS_ARSN_Model_1803_Flintlock_USA	33
IDS_ARSN_Model_1816_Flintlock_USA	34
IDS_ARSN_Model_1816_Percussion_USA	35
IDS_ARSN_Model_1822_USA	36
IDS_ARSN_Model_1841_Mississippi_USA	37
IDS_ARSN_Model_1841_Percussion_USA	38
IDS_ARSN_Model_1842_Palmetto_USA	39
IDS_ARSN_Model_1842_Rifle_USA	40
IDS_ARSN_Model_1842_USA	41
IDS_ARSN_Model_1855_Harpers_Ferry_USA	42
IDS_ARSN_Model_1859_Sharps_Rifle_USA	43
IDS_ARSN_Model_1859_Sharps_USA	44
IDS_ARSN_Model_1861_Springfield_USA	45
IDS_ARSN_Model_1861s_Springfield_USA	46
IDS_ARSN_Model_1863_Type_I_Springfield_USA	47
IDS_ARSN_Model_1863_Type_II_Springfield_USA	48
IDS_ARSN_Navy_Model	49
IDS_ARSN_Richmond_CSA	50
IDS_ARSN_Richmond_Percussion_CSA	51
IDS_ARSN_Smith_USA	52
IDS_ARSN_Spencer_Repeating_USA	53
IDS_ARSN_Spencer_USA	54
IDS_ARSN_Starr_USA	55
IDS_ARSN_Tyler_Texas_Pattern	56
	
IDS_ARSN_10lb_Parrott_CSA	70
IDS_ARSN_10lb_Parrott_USA	71
IDS_ARSN_12lb_Armstrong	72
IDS_ARSN_12lb_Blakely	73
IDS_ARSN_12lb_Clay	74
IDS_ARSN_12lb_Howitzer_CSA	75
IDS_ARSN_12lb_Howitzer_USA	76
IDS_ARSN_12lb_James	77
IDS_ARSN_12lb_Napoleon_CSA	78
IDS_ARSN_12lb_Napoleon_USA	79
IDS_ARSN_12lb_Whitworth	80
IDS_ARSN_14lb_James	81
IDS_ARSN_20lb_Parrott_CSA	82
IDS_ARSN_20lb_Parrott_USA	83
IDS_ARSN_24lb_Howitzer_CSA	84
IDS_ARSN_24lb_Howitzer_USA	85
IDS_ARSN_3.5in_James	86
IDS_ARSN_3in_Ordnance_CSA	87
IDS_ARSN_3in_Ordnance_USA	88
IDS_ARSN_3in_Rodman_CSA	89
IDS_ARSN_3in_Rodman_USA	90
IDS_ARSN_6lb_M1841_Rifle_CSA	91
IDS_ARSN_6lb_M1841_Rifle_USA	92
IDS_ARSN_6lb_M1841_USA	93
IDS_ARSN_6lb_M1841_CSA	94

IDS_ARSN_GCM_Musket_0	100
IDS_ARSN_GCM_Musket_1	101
IDS_ARSN_GCM_Musket_2	102
IDS_ARSN_GCM_Musket_3	103
IDS_ARSN_GCM_Musket_4	104
IDS_ARSN_GCM_Musket_5	105
IDS_ARSN_GCM_Musket_6	106
IDS_ARSN_GCM_Musket_7	107
IDS_ARSN_GCM_Musket_8	108
IDS_ARSN_GCM_Musket_9	109
IDS_ARSN_GCM_Musket_10	110
IDS_ARSN_GCM_Musket_11	111
IDS_ARSN_GCM_Musket_12	112

IDS_ARSN_GCM_Carbine_0	200
IDS_ARSN_GCM_Carbine_1	201
IDS_ARSN_GCM_Carbine_2	202
IDS_ARSN_GCM_Carbine_3	203
IDS_ARSN_GCM_Carbine_4	204
IDS_ARSN_GCM_Carbine_5	205
IDS_ARSN_GCM_Carbine_6	206
IDS_ARSN_GCM_Carbine_7	207
IDS_ARSN_GCM_Carbine_8	208
IDS_ARSN_GCM_Carbine_9	209
IDS_ARSN_GCM_Carbine_10	210
IDS_ARSN_GCM_Carbine_11	211
IDS_ARSN_GCM_Carbine_12	212

